Zip Code,Location,Population,People / Sq. Mile
62949,"37.848719, -89.143599",612,278.36
61416,"40.501883, -90.561856",152,277.05
62707,"39.816560, -89.773612","27,197",272.63
61301,"41.401096, -89.082214","10,433",266.64
62025,"38.835844, -89.932633","29,749",266.61
60184,"41.961142, -88.254439",698,259.62
60098,"42.323676, -88.454873","27,526",259.56
60548,"41.649149, -88.638131","11,054",255.58
61362,"41.351398, -89.232844","5,785",255.53
61602,"40.663381, -89.617227",774,244.86
61883,"40.034532, -87.635213","4,622",244.39
62852,"38.351811, -87.851021",240,243.83
61354,"41.326577, -89.142496","10,647",243.43
62918,"37.786372, -89.086175","8,632",241.34
60178,"42.008135, -88.660206","16,477",237.43
62901,"37.682417, -89.169992","30,069",236.43
62459,"38.930045, -88.027748",261,235.40
62028,"38.962395, -90.340335","1,208",231.49
61032,"42.313472, -89.634375","32,632",219.29
61523,"40.922069, -89.533558","10,835",216.33
61853,"40.227039, -88.402876","10,454",215.50
60083,"42.433530, -87.947225","5,387",214.98
60142,"42.173997, -88.444664","7,891",214.30
62663,"39.548677, -90.309742",340,210.54
62951,"37.825540, -88.920660","5,330",205.69
60545,"41.678507, -88.542461","7,638",205.12
62285,"38.389752, -90.010301","3,121",203.02
61802,"40.133715, -88.147869","16,566",200.34
61071,"41.724673, -89.698867","14,862",199.14
62848,"38.435397, -89.166528",753,197.83
60654,"41.888109, -87.636652",7,195.04
60136,"42.105485, -88.380573","1,459",193.20
61866,"40.309911, -88.159298","14,201",188.86
62561,"39.856298, -89.517193","4,750",188.82
60945,"40.820433, -87.595380",202,182.72
61539,"40.556403, -89.762073",224,182.37
62966,"37.773052, -89.351985","20,166",181.43
61081,"41.850006, -89.739377","22,844",180.60
62236,"38.431016, -90.205133","10,517",178.91
61938,"39.480989, -88.374500","22,264",178.91
62896,"37.890293, -88.918462","12,949",178.85
61010,"42.138658, -89.260611","7,139",176.99
61363,"41.251990, -89.179230",272,176.57
62401,"39.121339, -88.567701","19,070",175.15
61072,"42.442353, -89.138490","8,612",174.52
61338,"41.449229, -89.668494",375,173.60
62801,"38.507116, -89.146657","24,141",172.19
61535,"40.578709, -89.516102","1,398",171.77
62864,"38.329374, -88.905119","24,929",171.56
62959,"37.716831, -88.910350","24,807",169.96
61264,"41.400286, -90.582179","12,316",168.40
61359,"41.369851, -89.265425",273,164.47
61920,"39.512041, -88.154193","24,572",164.39
62088,"39.008407, -89.799282","6,816",162.67
